date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:08:21	12184/12184	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Mar%202016%2009:08:17%20GMT	https://api.qunitjs.com/	api.qunitjs.com/index.html	(from )
10:08:21	70/70	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/plain	date:Fri,%2025%20Mar%202016%2009:08:17%20GMT	https://api.qunitjs.com/robots.txt		(from )
10:08:22	18094/18094	---MCZ	200	added ('OK')	image/x-icon	etag:W/%225536b010-46ae%22	http://api.qunitjs.com/jquery-wp-content/themes/api.qunitjs.com/i/favicon.ico	api.qunitjs.com/jquery-wp-content/themes/api.qunitjs.com/i/favicon.ico	(from https://api.qunitjs.com/)
10:08:23	85549/85549	---MCZ	200	added ('OK')	text/css	etag:W/%2256ccf585-14e2d%22	http://api.qunitjs.com/jquery-wp-content/themes/jquery/css/base.css?v=1	api.qunitjs.com/jquery-wp-content/themes/jquery/css/base3860.css	(from https://api.qunitjs.com/)
10:08:23	120/120	---MCZ	200	added ('OK')	text/css	etag:W/%2256ccf585-78%22	http://api.qunitjs.com/jquery-wp-content/themes/api.qunitjs.com/style.css	api.qunitjs.com/jquery-wp-content/themes/api.qunitjs.com/style.css	(from https://api.qunitjs.com/)
10:08:23	5755/5755	---MCZ	200	added ('OK')	application/javascript	etag:W/%2254a6ac1a-167b%22	http://api.qunitjs.com/jquery-wp-content/themes/jquery/js/modernizr.custom.2.8.3.min.js	api.qunitjs.com/jquery-wp-content/themes/jquery/js/modernizr.custom.2.8.3.min.js	(from https://api.qunitjs.com/)
10:08:23	9995/9995	---MCZ	200	added ('OK')	application/javascript	etag:W/%225519e175-270b%22	http://api.qunitjs.com/jquery-wp-content/themes/jquery/js/main.js	api.qunitjs.com/jquery-wp-content/themes/jquery/js/main.js	(from https://api.qunitjs.com/)
10:08:23	31248/31248	---MCZ	200	added ('OK')	application/javascript	etag:W/%225428852c-7a10%22	http://api.qunitjs.com/jquery-wp-content/themes/jquery/js/plugins.js	api.qunitjs.com/jquery-wp-content/themes/jquery/js/plugins.js	(from https://api.qunitjs.com/)
10:08:24	10739/10739	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2025%20Mar%202016%2009:08:19%20GMT	http://api.qunitjs.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fapi.qunitjs.com%2F	api.qunitjs.com/wp-json/oembed/1.0/embed7225	(from https://api.qunitjs.com/)
10:08:24	10739/10739	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2025%20Mar%202016%2009:08:20%20GMT	http://api.qunitjs.com/wp-json/	api.qunitjs.com/wp-json/index.html	(from https://api.qunitjs.com/)
10:08:25	10739/10739	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2025%20Mar%202016%2009:08:20%20GMT	http://api.qunitjs.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fapi.qunitjs.com%2F&format=xml	api.qunitjs.com/wp-json/oembed/1.0/embed751b	(from https://api.qunitjs.com/)
10:08:25	10170/10170	---M--	200	added ('OK')	image/jpeg	etag:%22545cabe1-27ba%22	http://api.qunitjs.com/jquery-wp-content/themes/jquery/content/books/qunit-instant-testing.jpg	api.qunitjs.com/jquery-wp-content/themes/jquery/content/books/qunit-instant-testing.jpg	(from https://api.qunitjs.com/)
10:08:25	8677/8677	---M--	200	added ('OK')	image/gif	etag:%22545cabe1-21e5%22	http://api.qunitjs.com/jquery-wp-content/themes/jquery/content/books/qunit-testable-javascript.gif	api.qunitjs.com/jquery-wp-content/themes/jquery/content/books/qunit-testable-javascript.gif	(from https://api.qunitjs.com/)
